AirCode,AirName,City,State,fare14,fuel14,fare15,fuel15,fare16,fuel16,fare17,fuel17,fare18,fuel18,fare19,fuel19,fare20,fuel20,fare21,fuel21
DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,802.39,2.788083333,784.71,1.626916667,757.28,1.315333333,720.87,1.633583333,750.81,2.115166667,680.06,1.969416667,560.12,1.217833333,562.89,1.925
RHI,Rhinelander/Oneida County,Rhinelander,WI,524.78,2.788083333,808.19,1.626916667,782.82,1.315333333,819.71,1.633583333,708.36,2.115166667,735.6,1.969416667,533.84,1.217833333,636.35,1.925
PPG,Pago Pago International,Pago Pago,TT,1360.48,2.788083333,1349.86,1.626916667,1452.7,1.315333333,719.74,1.633583333,822.29,2.115166667,690.6,1.969416667,565.18,1.217833333,563.53,1.925
ESC,Delta County,Escanaba,MI,704.22,2.788083333,731.61,1.626916667,648.81,1.315333333,1401.59,1.633583333,670.42,2.115166667,702.68,1.969416667,566.6,1.217833333,575.39,1.925
SCC,Deadhorse Airport,Deadhorse,AK,609.95,2.788083333,563.07,1.626916667,545.27,1.315333333,609.52,1.633583333,1372.84,2.115166667,1014.06,1.969416667,564.77,1.217833333,581.75,1.925
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,813.96,2.788083333,804.96,1.626916667,764.12,1.315333333,523.96,1.633583333,568.85,2.115166667,685.57,1.969416667,565.35,1.217833333,553.41,1.925
TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,540.56,2.788083333,766.29,1.626916667,723.9,1.315333333,732.71,1.633583333,483.12,2.115166667,649.85,1.969416667,534.28,1.217833333,569.39,1.925
EAR,Kearney Regional,Kearney,NE,743.28,2.788083333,793.83,1.626916667,737.33,1.315333333,693.75,1.633583333,416.5,2.115166667,1368.18,1.969416667,1283.95,1.217833333,1036.67,1.925
IMT,Ford,Iron Mountain/Kingsfd,MI,510.11,2.788083333,754.73,1.626916667,750.3,1.315333333,571.49,1.633583333,715.69,2.115166667,549.8,1.969416667,487.31,1.217833333,524.05,1.925
CMX,Houghton County Memorial,Hancock/Houghton,MI,599.27,2.788083333,686.53,1.626916667,667.19,1.315333333,584.58,1.633583333,513.76,2.115166667,479.24,1.969416667,524.73,1.217833333,581.29,1.925
BTM,Bert Mooney,Butte,MT,450.15,2.788083333,676.04,1.626916667,674.07,1.315333333,687.11,1.633583333,576.82,2.115166667,421.18,1.969416667,449.47,1.217833333,497.85,1.925
HOB,Lea County Regional,Hobbs,NM,627.83,2.788083333,601.02,1.626916667,616.86,1.315333333,638.46,1.633583333,688.38,2.115166667,724.42,1.969416667,572.22,1.217833333,524.98,1.925
AKN,King Salmon Airport,King Salmon,AK,883.18,2.788083333,882.37,1.626916667,832.94,1.315333333,590.94,1.633583333,661.78,2.115166667,550.59,1.969416667,529.86,1.217833333,477.03,1.925
LAR,Laramie Regional,Laramie,WY,476.44,2.788083333,605.68,1.626916667,583.06,1.315333333,776.34,1.633583333,603.17,2.115166667,525.78,1.969416667,473.45,1.217833333,536.92,1.925
PSG,Petersburg James A Johnson,Petersburg,AK,582.92,2.788083333,529.09,1.626916667,524.03,1.315333333,577.32,1.633583333,755.65,2.115166667,653.77,1.969416667,518.7,1.217833333,542.31,1.925
SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,505.39,2.788083333,598.98,1.626916667,570.97,1.315333333,519.23,1.633583333,569.38,2.115166667,637.95,1.969416667,544.21,1.217833333,549.5,1.925
PQI,Presque Isle International,Presque Isle/Houlton,ME,754.02,2.788083333,684.85,1.626916667,707.26,1.315333333,562.49,1.633583333,528.45,2.115166667,612.8,1.969416667,522.35,1.217833333,410.45,1.925
EAU,Chippewa Valley Regional,Eau Claire,WI,500.17,2.788083333,585.79,1.626916667,528.7,1.315333333,610.34,1.633583333,554.21,2.115166667,727.7,1.969416667,596.77,1.217833333,547.96,1.925
SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,547.46,2.788083333,520.61,1.626916667,421.98,1.315333333,539.69,1.633583333,657.34,2.115166667,565.99,1.969416667,504.77,1.217833333,476.79,1.925
HIB,Range Regional,Hibbing,MN,713.08,2.788083333,779.63,1.626916667,728.78,1.315333333,139.25,1.633583333,541.08,2.115166667,501.84,1.969416667,479.33,1.217833333,508.94,1.925
RKS,Southwest Wyoming Regional,Rock Springs,WY,609.87,2.788083333,706.9,1.626916667,752.62,1.315333333,737.72,1.633583333,157.94,2.115166667,539.98,1.969416667,453.05,1.217833333,438.32,1.925
DBQ,Dubuque Regional,Dubuque,IA,593.15,2.788083333,608.38,1.626916667,607.17,1.315333333,673.4,1.633583333,708.68,2.115166667,596.99,1.969416667,540,1.217833333,463.76,1.925
JLN,Joplin Regional,Joplin,MO,598.78,2.788083333,631.78,1.626916667,608.09,1.315333333,625.98,1.633583333,581.39,2.115166667,522.35,1.969416667,491.37,1.217833333,394.44,1.925
ALO,Waterloo Regional,Waterloo,IA,575.47,2.788083333,579.09,1.626916667,575.2,1.315333333,601.42,1.633583333,634.49,2.115166667,148.25,1.969416667,119.2,1.217833333,107.64,1.925
OWB,Owensboro Daviess County Regional,Owensboro,KY,138.32,2.788083333,136.43,1.626916667,140.33,1.315333333,582.68,1.633583333,593.76,2.115166667,659.11,1.969416667,539.84,1.217833333,595.26,1.925
OGD,Ogden-Hinckley,Ogden,UT,102.92,2.788083333,108.83,1.626916667,105.96,1.315333333,184.37,1.633583333,617.51,2.115166667,589.6,1.969416667,561.86,1.217833333,494.38,1.925
CDV,Merle K Mudhole Smith,Cordova,AK,623.52,2.788083333,548.68,1.626916667,492.03,1.315333333,123.02,1.633583333,182.62,2.115166667,624.72,1.969416667,478.28,1.217833333,481.99,1.925
FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,418.68,2.788083333,193.07,1.626916667,181.32,1.315333333,505.34,1.633583333,129.26,2.115166667,572.04,1.969416667,434.83,1.217833333,458.41,1.925
BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,634.72,2.788083333,618.62,1.626916667,606.7,1.315333333,700.76,1.633583333,475.12,2.115166667,573.89,1.969416667,449.51,1.217833333,395.98,1.925
APN,Alpena County Regional,Alpena,MI,469.42,2.788083333,828.43,1.626916667,843.82,1.315333333,783.13,1.633583333,663.7,2.115166667,166.04,1.969416667,145.38,1.217833333,147.5,1.925
CDC,Cedar City Regional,Cedar City,UT,396.34,2.788083333,451.34,1.626916667,426.94,1.315333333,394.54,1.633583333,691.89,2.115166667,134.44,1.969416667,114.06,1.217833333,101.57,1.925
RIW,Central Wyoming Regional,Riverton/Lander,WY,888.33,2.788083333,906.3,1.626916667,787.02,1.315333333,813.61,1.633583333,419.48,2.115166667,474.86,1.969416667,484.53,1.217833333,462.86,1.925
